X,Y,objectid,linea,nombre,codigo_mpio,municipio,sistema,tipo
-75.5585557071937,6.29994259008367,1,A,Estación Acevedo (Línea A),05001,Medellín,Metro,Estación
-75.5647167280097,6.29031534118245,2,A,Estación Tricentenario (Línea A),05001,Medellín,Metro,Estación
-75.5694048558144,6.27832651707121,3,A,Estación Caribe (Línea A),05001,Medellín,Metro,Estación
-75.5658279961184,6.26943275514948,4,A,Estación Universidad (Línea A),05001,Medellín,Metro,Estación
-75.5633348028957,6.26391952494791,5,A,Estación Hospital (Línea A),05001,Medellín,Metro,Estación
-75.5661721550768,6.25685016727448,6,A,Estación Prado (Línea A),05001,Medellín,Metro,Estación
-75.5682359311358,6.25050160347719,7,A,Estación Parque Berrío (Línea A),05001,Medellín,Metro,Estación
-75.5697034073059,6.24719454351342,8,A,Estación San Antonio (Línea A),05001,Medellín,Metro,Estación
-75.5751519778633,6.24905357172946,9,B,Estación Cisneros (Línea B),05001,Medellín,Metro,Estación
-75.571425288161,6.24291711055267,10,A,Estación Alpujarra (Línea A),05001,Medellín,Metro,Estación
-75.5731636531016,6.23841985323318,11,A,Estación Exposiciones (Línea A),05001,Medellín,Metro,Estación
-75.575618520601,6.23009059069136,12,A,Estación Industriales (Línea A),05001,Medellín,Metro,Estación
-75.5780956618279,6.2121783403611,13,A,Estación Poblado (Línea A),05001,Medellín,Metro,Estación
-75.5818095442491,6.1939196306817,14,A,Estación Aguacatala (Línea A),05001,Medellín,Metro,Estación
-75.582941711663,6.25298404616691,15,B,Estación Suramericana (Línea B),05001,Medellín,Metro,Estación
-75.5882563739542,6.25333562923324,16,B,Estación Estadio (Línea B),05001,Medellín,Metro,Estación
-75.5977436999604,6.25870904240013,17,B,Estación Floresta (Línea B),05001,Medellín,Metro,Estación
-75.6037462489771,6.2580882099152,18,B,Estación Santa Lucia (Línea B),05001,Medellín,Metro,Estación
-75.6136642039743,6.25678093038968,19,B,Estación San Javier (Línea B),05001,Medellín,Metro,Estación
-75.5553244904729,6.31587687478175,20,A,Estación Madera (Línea A),05088,Bello,Metro,Estación
