objectid,linea,itinerario,sistema,st_lengthshape
1,1,Parque de Aranjuez - Universidad de Medellín,Metroplus,12781.3262648616
2,1,Universidad de Medellín - Parque de Aranjuez,Metroplus,12781.6973595268
3,2,Parque de Aranjuez - Universidad de Medellín,Metroplus,13171.5525812164
4,2,Universidad de Medellín - Parque de Aranjuez,Metroplus,13066.7797140525
5,A,Niquia-La Estrella-Niquia,Metro,25606.1714848623
6,B,San Antonio - San Javier - San Antonio,Metro,5535.86610251324
7,C,Servicio,Metro,3686.74212570194
8,H,Oriente - Villa Sierra,Cable,1420.00537545974
9,J,San Javier - La Aurora,Cable,2730.93456656676
10,K,Acevedo - Santo Domingo,Cable,2027.17531458762
11,L,Santo Domingo - Arví,Cable,4505.03346984743
12,M,Miraflores -13 de Noviembre,Cable,1083.07496373857
13,O,Caribe - La Palma,Metroplus,9241.3107829938
14,O,La Palma - Caribe,Metroplus,9217.36935174786
15,P,Acevedo - Picacho,Cable,2716.65880876085
16,T,San Antonio - Oriente,Tranvía,4171.29095899119
