X,Y,objectid,code_ruta,ruta,linea,itinerario,parada,orden
-75.5573494871595,6.30001851969336,1,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Estación Acevedo Metro,11
-75.5558965529172,6.30467921104806,2,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Cra. 52 con Cll. 117,2
-75.5559399235792,6.30676798793157,3,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Cll. 123 con Cra. 52,3
-75.5551844736629,6.30908303767863,4,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Cra. 45 con Cll.20D,4
-75.5539808165221,6.30820088567302,5,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Cll. 20D con Cra. 43C,5
-75.5526793678812,6.30776497529322,6,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Cll. 20D con Cra. 42D,6
-75.5503653427436,6.30852481034246,7,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Cra. 42 con Cll. 20,8
-75.5490859576244,6.30923036197984,8,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Cra. 41F con Cll. 21B,9
-75.5473586769961,6.30924260328811,9,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Cll. 21 con Cra. 41,10
-75.5452876272782,6.30844785874247,10,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Zamora Cra. 40A con Cll 21,1
-75.5452876272782,6.30844785874247,11,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Zamora Cra. 40A con Cll 21,1
-75.5465540649792,6.30844951681277,12,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Cll. 21 con Cra. 40B,2
-75.5468592595122,6.30929156941102,13,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Cll. 21C con Cra. 40C,3
-75.5489608690177,6.3093779969594,14,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Cra. 41E con Cll. 21B,4
-75.550382245444,6.30872549928293,15,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Cra. 42 con Cll. 25E,5
-75.5529275418515,6.30832829641242,16,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Cll. 20E con Cra. 43,6
-75.5539159653451,6.30873862187099,17,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Cll. 20E con Cra. 43C,7
-75.5551566447537,6.30907412143202,18,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Cra. 45 con Cll. 20D,8
-75.5555408317428,6.30704110515804,19,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Cra. 52 con Cll. 124,9
-75.5559261901351,6.30469257570961,20,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Cra. 52 con Cll. 117,10
-75.5573494871595,6.30001851969336,21,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,Estación Acevedo Metro,11
-75.5504627830025,6.30757712912771,22,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,Cra 42 con Calle 20D,7
-75.5738518515424,6.26529620631679,23,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cll 67 con Cra 64B,23
-75.5691434631348,6.26466977393165,24,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cl 67 con Cra 55 AB,2
-75.5627629461656,6.26495741209992,25,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Estación Hospital Integracion Metro B,3
-75.5599514987024,6.26452608649837,26,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cll 68 con Cra. 49,4
-75.5574116433906,6.26414185035754,27,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cll 68 con Cra. 48,5
-75.5565181161269,6.2635781786713,28,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra. 47 con Cll 67,6
-75.5597904981456,6.25920339437539,29,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cll 63A Cra 47,8
-75.5580208655449,6.26166875902594,30,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra. 48 con Cll 65F,9
-75.5572545855396,6.26090088321609,31,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra. 45C con Cll 65,10
-75.556114990855,6.25858148913839,32,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cll 65 con Cra. 43,11
-75.554940175923,6.25680914181388,33,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra. 41 con Cl 65,12
-75.5535301038963,6.25721920964544,34,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra. 40 con Cll 65,13
-75.5519893243007,6.25850144675623,35,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cl 66 con Cra. 39A,14
-75.5500102611697,6.25761451022634,36,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra. 37 con Cll 66,15
-75.5490813735215,6.25892230469054,37,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra. 37 con Cll 66D,16
-75.5483622281191,6.26251071947834,38,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cll 68 con Cra. 36A,18
-75.5478385408512,6.26507212764457,39,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles, Cra. 36 con Cll 70,19
-75.5478064224865,6.26593775646573,40,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra. 36 con Cll 71,20
-75.546708996518,6.26658754773282,41,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cll 71A con Cra. 34,21
-75.5445485895822,6.26647188956835,42,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra. 31A con Cll 71A,22
-75.5423783020765,6.26613963071135,43,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles, Cra. 29 con Cll 71A,1
-75.5423783020765,6.26613963071135,44,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra. 29 con Cll 71A,1
-75.5425555836996,6.26353704122712,45,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra. 28 con Cll 69,2
-75.5430938137936,6.26217107157439,46,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cll 68A con Cra. 28,3
-75.5447082318863,6.26283276346503,47,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra. 31A con Cll 68A,4
-75.544647924388,6.26662098683538,48,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra 32 con Cll 71A,6
-75.5444411384978,6.26605656774995,49,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra 31A con Cll 71,5
-75.5470265078518,6.26664770382674,50,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cll 71A con Cra. 34,7
-75.5478380827104,6.26593768860161,51,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra. 36 con Cll 71,8
-75.5480329228039,6.26477325443321,52,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra. 37A Cll 70,9
-75.5485403721248,6.26266229046759,53,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cll 68 con Cra. 36A,10
-75.5490308244221,6.25905150448833,54,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra. 36 con Cll 66D,12
-75.5501684706609,6.25744969959181,55,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra. 36 con Cll 66,13
-75.5519682381461,6.2585252039959,56,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cll 66 con Cra. 39A,14
-75.5536943482696,6.25706045853961,57,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra. 40 con Cll 65,15
-75.5557619394736,6.25837578562964,58,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cll 65 con Cra. 42,16
-75.5572094326201,6.26107862278038,59,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra 45C con Cll 65,17
-75.555773417248,6.26183106537418,60,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra. 45 con Cll 67,18
-75.5628609703295,6.26477892199164,61,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,cra 51 con calle 67,19
-75.5684003021716,6.26467075349881,62,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cl 67 con Cra 55,21
-75.5738518515424,6.26529620631679,63,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cll 67 con Cra 64B,23
-75.5648891452554,6.26607124425226,64,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cll 68 Cr 51C,20
-75.5746673134113,6.26572403538603,65,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cr 64 Cll 67,22
-75.5429975961418,6.26629716554043,66,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra 30 Cll 71A,23
-75.5481845251862,6.26118014216746,67,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,Cra 36A Cll 66G,11
-75.5481498475213,6.26122891189931,68,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra 36A Cll 66G,17
-75.5587117858811,6.26160903812084,69,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,Cra 48 Cll 65F,7
-75.562406489271,6.28181073279529,70,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,Cra. 51B con Cll. 90,1
-75.5582670120176,6.2821149912658,71,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,Cll 90 con Cra. 50,3
-75.5571154176374,6.28099630196827,72,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,Cll 89 con Cra. 49A,4
-75.5570668538149,6.27883164236556,73,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,Cra. 49 con Cll 85C,5
-75.5575278467608,6.27622936893502,74,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,Cra. 49 con Cll 83,6
-75.5585074640697,6.27425830276197,75,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,Cra. 49A con Cll 80,8
-75.5584315339703,6.27114633631957,76,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,Cra. 49 con Cll 77,9
-75.5589489887268,6.26821562003486,77,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,Cra. 49 con Cll 72A,10
-75.5602860834165,6.26479886336733,78,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,Cra. 50 con Cll 68,11
-75.5659219176763,6.26116294113838,79,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,Cra 51D entre Cll 62-63,2
-75.563736632797,6.26303759369547,80,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,Cra. 51 con Cll. 66-89,12
-75.5625095529836,6.26535222641629,81,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,Cra. 51 con Cll 67,3
-75.5590747016626,6.2672429057123,82,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,Cra 49 con Cll 72,4
-75.5588325383199,6.26860317582117,83,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,Cra. 49 con Cll 72A,5
-75.5583940859011,6.27113675328903,84,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,Cra. 49 con Cl l77,6
-75.5585365425354,6.27392226103549,85,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,Cra.49A con Cll 80,7
-75.5574744221542,6.27634999052383,86,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,Cra.49 con Cll 82,9
-75.5570360892113,6.27882394444461,87,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,Cra. 49 con Cll 85C,10
