X,Y,objectid,id_punto,nombreestablecimiento,direccion,codigo_mpio,municipio,barrio,linea_cuenca,estado,longitud,latitud
-75.5852365802271,6.31491929979162,1,1,4 Esquinas,CL 21 81 04,05088,Bello,Paris,C1 2,En servicio,-75.58523658,6.3149193
-75.5614688502353,6.33773421968604,2,2,5 Esquinas,CL 54 53 55,05088,Bello,Bello,C1 2,En servicio,-75.56146885,6.33773422
-75.5387030903316,6.33231092983695,3,3,Alkala,DG 44 33B 49,05088,Bello,Bello,C1 2,En servicio,-75.53870309,6.33231093
-75.5586944501927,6.33488207990399,4,4,Bar Santander,CR 50 50 A 27,05088,Bello,Bello,C1 2,En servicio,-75.55869445,6.33488208
-75.5586944501927,6.33488207990399,5,5,Bar Santander (2),CR 50 50 A 27,05088,Bello,Bello,C1 2,En servicio,-75.55869445,6.33488208
-75.5594310498611,6.31974255788701,6,6,Barrio Obrero,CL 31 53 04,05088,Bello,Bello,C1 2,En servicio,-75.55943105,6.31974256
-75.5823498656212,6.30364855781162,7,7,Billares,CR 83 101 DD 19,05001,Bello,Paris,C1 2,En servicio,-75.58234987,6.30364856
-75.5594382202137,6.33435049035122,8,8,Bingo La 51,CR 51 50 56,05088,Bello,Bello,C1 2,En servicio,-75.55943822,6.33435049
-75.5612471100906,6.33890127036668,9,9,Buena Esquina,CR 52 55 37,05088,Bello,Bello,C1 2,En servicio,-75.56124711,6.33890127
-75.5636442796976,6.31658092978916,10,10,Cabañas La 58,CR 58 27 A 34,05088,Bello,Bello,C1 2,En servicio,-75.56364428,6.31658093
-75.5668674753612,6.31523608538312,11,11,Cabañitas,CR 58 D 26 12,05088,Bello,Bello,C1 2,En servicio,-75.56686747,6.31523608
-75.5544098303422,6.34751835987425,12,12,Camacol,AV 47B 65 120,05088,Bello,Bello,C1 2,En servicio,-75.55440983,6.34751836
-75.5610719098641,6.34153415010877,13,13,Caretero Qap,TRANSVERSAL 56A 54 19,05088,Bello,Bello,C1 2,En servicio,-75.56107191,6.34153415
-75.5578124303479,6.33419845012788,14,14,Carnelly,CR 49 49 61,05088,Bello,Bello,C1 2,En servicio,-75.55781243,6.33419845
-75.556494040379,6.33343256010269,15,15,Clinica Antioquia,CR 48 47 25,05088,Bello,Bello,C1 2,En servicio,-75.55649404,6.33343256
-75.5591915904474,6.32233715964045,16,16,Club Obrero,CL 35 52 27,05088,Bello,Bello,C1 2,En servicio,-75.55919159,6.32233716
-75.5592665099421,6.34054574983845,17,17,Congolo Hv,CR 50 58 43,05088,Bello,Bello,C1 2,En servicio,-75.55926651,6.34054575
-75.5568210298374,6.34083302005864,18,18,Congolo Puente Qap,CR 47 58 28,05088,Bello,Bello,C1 2,En servicio,-75.55682103,6.34083302
-75.5677014101856,6.33982821999065,19,19,Cumbre Rey,CR 63 56 13,05088,Bello,Bello,C1 2,En servicio,-75.56770141,6.33982822
-75.5675860000278,6.34874899994835,20,20,De Uno Paisajes,CR 65 68 31 INT 105,05088,Bello,Bello,C1 2,En servicio,-75.567586,6.348749
-75.5589365596365,6.33839626968467,21,21,Droguería La 50,CR 50 55 04,05088,Bello,Bello,C1 2,En servicio,-75.55893656,6.33839627
-75.5555299998571,6.3311000000818,22,22,Drogueria Manchester,CL 45 48 23,05088,Bello,Bello,C1 2,En servicio,-75.55553,6.3311
-75.569809410306,6.33780836970671,23,23,Drogueria Servimedic,CL 53 64 27,05088,Bello,Bello,C1 2,En servicio,-75.56980941,6.33780837
-75.5624500297145,6.34697404028389,24,24,Ducado,CR 58 CL 66 4,05088,Bello,Bello,C1 2,En servicio,-75.56245003,6.34697404
-75.5640150602295,6.34456302035995,25,25,Eca Bellanita,CL 63 59 38,05088,Bello,Bello,C1 2,En servicio,-75.56401506,6.34456302
-75.559445270192,6.34237809961555,26,26,El Cairo,CR 50 63 15,05088,Bello,Bello,C1 2,En servicio,-75.55944527,6.3423781
-75.5664887195863,6.3418654196393,27,27,El Carmen,CL 58 62 44,05088,Bello,Bello,C1 2,En servicio,-75.56648872,6.34186542
-75.5598064396487,6.33511597991943,28,28,El Chino,CL 51 51 34,05088,Bello,Bello,C1 2,En servicio,-75.55980644,6.33511598
-75.5428200001085,6.34161000040229,29,29,El Copo De Nieve S.A.S,DG 57 34 65,05088,Bello,Bello,C1 2,En servicio,-75.54282,6.34161
-75.5623892299395,6.33358572016341,30,30,El Perez,CR 55 49 49,05088,Bello,Bello,C1 2,En servicio,-75.56238923,6.33358572
-75.5679844702299,6.34511841962148,31,31,El Vergel,CL 62 63 B 15,05088,Bello,Bello,C1 2,En servicio,-75.56798447,6.34511842
-75.5591100000634,6.33960200038065,32,32,Espititu Santo,CL 49 A 56 84,05088,Bello,Bello,C1 2,En servicio,-75.55911,6.339602
-75.5679262099922,6.3378335500517,33,33,Fernando Velez,CL 53 62 B 70,05088,Bello,Bello,C1 2,En servicio,-75.56792621,6.33783355
-75.5604658300166,6.31958688033224,34,34,Florida 1,CL 31 55 06,05088,Bello,Bello,C1 2,En servicio,-75.56046583,6.31958688
-75.5666699996106,6.33070000016596,35,35,Fotocopias Mirian,CR 59 40 A 44,05088,Bello,Bello,C1 2,En servicio,-75.56667,6.3307
-75.5440250002306,6.34011900029019,36,36,Fruver Niquia,DG 55 AVENIDA 37 20,05088,Bello,Bello,C1 2,En servicio,-75.544025,6.340119
-75.5545004496932,6.33399184981156,37,37,Gana Santa Ines,CL 47 45 83,05088,Bello,Bello,C1 2,En servicio,-75.55450045,6.33399185
-75.5545004496932,6.33399184981156,38,38,Gana Santa Ines (2),CL 47 45 83         ,05088,Bello,Bello,C1 2,En servicio,-75.55450045,6.33399185
-75.5586667596241,6.32214073041711,39,39,Gana Servicios Barrio Obrero,CL 35 51 35,05088,Bello,Bello,C1 2,En servicio,-75.55866676,6.32214073
-75.5631024500542,6.34323251957585,40,40,Gana Servicios Bellanita,TRANSVERSAL 56A 57 17,05088,Bello,Bello,C1 2,En servicio,-75.56310245,6.34323252
-75.5596921802327,6.3349854901588,41,41,Gana Servicios Bello,CL 51 51 11,05088,Bello,Bello,C1 2,En servicio,-75.55969218,6.33498549
-75.5423829301969,6.33927264182182,42,42,Gana Servicios C.C Puerta Del Norte I I,DG 55 AUT NORTE LOCAL 1 154,05088,Bello,Bello,C1 2,En servicio,-75.54238293,6.33927264
-75.5373131001431,6.33378327982508,43,43,Gana Servicios Machado,DG 44 32 21,05088,Bello,Bello,C1 2,En servicio,-75.5373131,6.33378328
-75.550237000439,6.34133729963511,44,44,Gana Servicios Niquia,AV 43 58 55,05088,Bello,Bello,C1 2,En servicio,-75.550237,6.3413373
-75.5787531298012,6.31094220032338,45,45,Gana Servicios Paris,CR 72 20 D 85,05088,Bello,Paris,C1 2,En servicio,-75.57875313,6.3109422
-75.5586262599778,6.31804687992617,46,46,Granero El Atardecer,CL 29 A 51 A 05,05088,Bello,Bello,C1 2,En servicio,-75.55862626,6.31804688
-75.56881364039,6.33843191032702,47,47,Hato Viejo,CR 63 A A 54 37,05088,Bello,Bello,C1 2,En servicio,-75.56881364,6.33843191
-75.5578537896819,6.3349055997278,48,48,Heladería Bello,CR 49 50 58,05088,Bello,Bello,C1 2,En servicio,-75.55785379,6.3349056
-75.5414857099591,6.34079996965277,49,49,Iglesia Terranova,DG 55 AV 33 48,05088,Bello,Bello,C1 2,En servicio,-75.54148571,6.34079997
-75.5815072099521,6.31295082956634,50,50,Kiosko Gilma,CR 76 20 F 04,05088,Bello,Paris,C1 2,En servicio,-75.58150721,6.31295083
-75.5394089999566,6.32777099957987,51,51,La Camila,DG 42 DC 36 41,05088,Bello,Bello,C1 2,En servicio,-75.539409,6.327771
-75.5592233198415,6.33980951002129,52,52,La Isla,CR 50 57 23,05088,Bello,Bello,C1 2,En servicio,-75.55922332,6.33980951
-75.5519000003205,6.33996300031856,53,53,La Liko Bar,CL 72 A 91 B 20,05088,Bello,Bello,C1 2,En servicio,-75.5519,6.339963
-75.5725288702842,6.34163307975984,54,54,Las Alarias,CL 56 B 67 B 17,05088,Bello,Bello,C1 2,En servicio,-75.57252887,6.34163308
-75.559930000221,6.35099000004504,55,55,Licores Salo,CL 74 57 B 54,05088,Bello,Bello,C1 2,En servicio,-75.55993,6.35099
-75.5832180002067,6.30702400029013,56,56,Local La Salida,CL 104 B 84D 85,05001,Bello,Paris,C1 2,En servicio,-75.583218,6.307024
-75.5662939801041,6.32745520022167,57,57,Los Bucaros,CR 58 B 40 C 24,05088,Bello,Bello,C1 2,En servicio,-75.56629398,6.3274552
-75.5642083597123,6.34055666010285,58,58,Lucerito,CL 58 57 107,05088,Bello,Bello,C1 2,En servicio,-75.56420836,6.34055666
-75.5337242551245,6.33538809560127,59,59,Machado El Rey,CL 44 83 A 06,05212,Bello,Bello,C1 2,En servicio,-75.53372426,6.3353881
-75.5517842299382,6.33993112034581,60,60,Mega Apuestas,AV 44 56 07,05088,Bello,Bello,C1 2,En servicio,-75.55178423,6.33993112
-75.5671658696475,6.34961470957102,61,61,Mega Bellavista,CL 70 64 36,05088,Bello,Bello,C1 2,En servicio,-75.56716587,6.34961471
-75.5673276400605,6.34124062965251,62,62,Mega Cumbre,CR 63 57A 09,05088,Bello,Bello,C1 2,En servicio,-75.56732764,6.34124063
-75.5433860402471,6.34028655956549,63,63,Mejoras Teranova,DG 55 AV 35 18,05088,Bello,Bello,C1 2,En servicio,-75.54338604,6.34028656
-75.5821396796076,6.30280664962488,64,64,Mirador,CL 101 D 83 11,05001,Bello,Paris,C1 2,En servicio,-75.58213968,6.30280665
-75.5589842601781,6.34683688959469,65,65,Mirador,CR 50 66 99,05088,Bello,Bello,C1 2,En servicio,-75.55898426,6.34683689
-75.5532450100661,6.33706413965033,66,66,Modulo Prado,CR 44 52 56,05088,Bello,Bello,C1 2,En servicio,-75.55324501,6.33706414
-75.5649150697362,6.3344139599216,67,67,Nazareth,CL 51 58 40,05088,Bello,Bello,C1 2,En servicio,-75.56491507,6.33441396
-75.5533708604442,6.33901095993286,68,68,Niquia La 45,AV 45 54 40,05088,Bello,Bello,C1 2,En servicio,-75.55337086,6.33901096
-75.5484974003148,6.3389674696302,69,69,Niquia La 55,DG 55 N 42 26 LOCAL 4228,05088,Bello,Bello,C1 2,En servicio,-75.5484974,6.33896747
-75.5445049997313,6.33773000019412,70,70,Niquia Metro,DG 50 A 37 01 LOCAL 101,05088,Bello,Ciudad Niquia,C1 2,En servicio,-75.544505,6.33773
-75.549379999573,6.34355999980041,71,71,Niquia Parte Alta 2,AVENIDA 42 NRO 62 61 LOCAL 104,05088,Bello,Bello,C1 2,En servicio,-75.54938,6.34356
-75.555165999809,6.33603100012547,72,72,Nueva Plaza,CR 46 51 13 ,05088,Bello,Bello,C1 2,En servicio,-75.555166,6.336031
-75.5617929300505,6.33911185963518,73,73,Nuevo Obra 2000,CL 56 54 46,05088,Bello,Bello,C1 2,En servicio,-75.56179293,6.33911186
-75.6078309999651,6.34448000031564,74,74,Nuevo San Felix,KM 22 VIA A SAN PEDRO DE LOS MILAGROS,05088,Bello,Sabanalarga,C1 2,En servicio,-75.607831,6.34448
-75.5588342002032,6.33467525040391,75,75,Of. Principal,CL 50 A 50 27,05088,Bello,Bello,C1 2,En servicio,-75.5588342,6.33467525
-75.5587484398396,6.33510542042205,76,76,Of. Principal Maya,CL 51 50 09,05088,Bello,Bello,C1 2,En servicio,-75.55874844,6.33510542
-75.5588368196905,6.33554538977278,77,77,Of. Principal Qap,AV 50 A 51 52,05088,Bello,Bello,C1 2,En servicio,-75.55883682,6.33554539
-75.5617002203199,6.31945915004167,78,78,P.V Alianza Florida,CL 31 56 126,05088,Bello,Bello,C1 2,En servicio,-75.56170022,6.31945915
-75.5629297498392,6.31919540990082,79,79,P.V Carlos Uribe,CL 31 57 106,05088,Bello,Bello,C1 2,En servicio,-75.56292975,6.31919541
-75.5636200000321,6.31700999968421,80,80,Panaderia Naria Palitos,CL 27 B 58 61 ,05088,Bello,Bello,C1 2,En servicio,-75.56362,6.31701
-75.5602399998424,6.35058000009589,81,81,Papeleria Danna,CL 72 A 57 14,05088,Bello,Bello,C1 2,En servicio,-75.56024,6.35058
-75.5818304300795,6.31234222001313,82,82,Paris 2,CR 76 20 E 27,05088,Bello,Paris,C1 2,En servicio,-75.58183043,6.31234222
-75.5783911599457,6.31208561027375,83,83,Paris La 72,CR 72 20 F 31,05088,Bello,Paris,C1 2,En servicio,-75.57839116,6.31208561
-75.5731196096015,6.34209837992236,84,84,Peña Verde,CL 57 67 B 79 INT 117,05088,Bello,Bello,C1 2,En servicio,-75.57311961,6.34209838
-75.5825410001642,6.30909100033497,85,85,Picachito,CR 84 D 107 12,05001,Bello,Paris,C1 2,En servicio,-75.582541,6.309091
-75.5542351601218,6.33567674989989,86,86,Plaza 1,CL 51 45 09,05088,Bello,Bello,C1 2,En servicio,-75.55423516,6.33567675
-75.5564914604175,6.33730984005004,87,87,Prado Del Rey,CRA 47 53 33,05088,Bello,Bello,C1 2,En servicio,-75.55649146,6.33730984
-75.5571090602602,6.33504220985738,88,88,Prendería Rey,CR 48 50 39,05088,Bello,Bello,C1 2,En servicio,-75.55710906,6.33504221
-75.5636289903715,6.31228273975133,89,89,Puente Cabañitas,CR 58 22 A 09,05088,Bello,Bello,C1 2,En servicio,-75.56362899,6.31228274
-75.5483748198044,6.34566779002136,90,90,Quitasol,DG 65 41 22,05088,Bello,Bello,C1 2,En servicio,-75.54837482,6.34566779
-75.5594073397275,6.34044283978492,91,91,Rey Obra 2000,CL 58 56A 214,05088,Bello,Bello,C1 2,En servicio,-75.55940734,6.34044284
-75.5655101398316,6.33846011999322,92,92,Rosalpi Qap,CR 57B 53 86,05088,Bello,Bello,C1 2,En servicio,-75.56551014,6.33846012
-75.5537854095916,6.34914925013479,93,93,Sala  De Internet,DG 68 47 20,05088,Bello,Bello,C1 2,En servicio,-75.55378541,6.34914925
-75.5599999996429,6.33404000022177,94,94,Salsamentaria Zoila,CR 52 50 4,05088,Bello,Bello,C1 2,En servicio,-75.56,6.33404
-75.5670202895709,6.35017541021031,95,95,San Gabriel,CR 63 B 71 13,05088,Bello,Bello,C1 2,En servicio,-75.56702029,6.35017541
-75.5612637199402,6.33333401993978,96,96,Santana Megapuestas,CR 53 A 49 46,05088,Bello,Bello,C1 2,En servicio,-75.56126372,6.33333402
-75.5648779998577,6.33192900005918,97,97,Santanita,CR 56 C 47 04 LOCAL 3,05088,Bello,Bello,C1 2,En servicio,-75.564878,6.331929
-75.5489100001181,6.34616999979641,98,98,Tecnolgia Magenta,DG 65 A 41 A 73,05088,Bello,Bello,C1 2,En servicio,-75.54891,6.34617
-75.5491899996023,6.344489999827,99,99,Tienda Donde Santi Y Lina,AVENIDA 42 63 77,05088,Bello,Bello,C1 2,En servicio,-75.54919,6.34449
-75.5482690000606,6.34943600040997,100,100,Tienda Jorgares,DG 69 A 40 C 07,05088,Bello,Bello,C1 2,En servicio,-75.548269,6.349436
-75.5692448496927,6.35397517030625,101,101,Tienda La Señorial,CR 65A 77 38,05088,Bello,Bello,C1 2,En servicio,-75.56924485,6.35397517
-75.5449430002976,6.33752700027161,102,102,Tienda Naturista Sana Natural,AV 35 DG 55 65,05088,Bello,Bello,C1 2,En servicio,-75.544943,6.337527
-75.5719742701907,6.34436169001099,103,103,Trapiche,CR 68 59 A E 42,05088,Bello,Bello,C1 2,En servicio,-75.57197427,6.34436169
-75.5766475200977,6.30776770035365,104,104,Tres Esquinas,CR 80 106 A 20,05001,Bello,Paris,C1 2,En servicio,-75.57664752,6.3077677
-75.5599799097199,6.33570818997101,105,105,Universidad Cooperativa,CL 52 51 55,05088,Bello,Bello,C1 2,En servicio,-75.55997991,6.33570819
-75.5700949002932,6.34342110989097,106,106,Valadares,CL 59 A 66 27,05088,Bello,Bello,C1 2,En servicio,-75.5700949,6.34342111
-75.5712409996788,6.34218300027927,107,107,Varedades Maru,CL 57 66 B B 39,05088,Bello,Bello,C1 2,En servicio,-75.571241,6.342183
-75.5519100003662,6.31498000029635,108,108,Variedades Alba,CR 44 26 71 INT118,05088,Bello,Bello,C1 2,En servicio,-75.55191,6.31498
-75.5484799999478,6.32118000006626,109,109,Variedades Cafe Albert,CL 35 42 B 41,05088,Bello,Bello,C1 2,En servicio,-75.54848,6.32118
-75.5616030001483,6.35130899997124,110,110,Variedades Global Red Servicios,CRA 58 73 38,05088,Bello,Bello,C1 2,En servicio,-75.561603,6.351309
-75.5322000000387,6.34576999996046,111,111,Variedades Jc Y D,AV 20 57 A 36 ,05088,Bello,Bello,C1 2,En servicio,-75.5322,6.34577
-75.5764588002262,6.31226908956735,112,112,Variedades Moni,CL 21 69 58,05088,Bello,Paris,C1 2,En servicio,-75.5764588,6.31226909
-75.5489000000724,6.32004000037736,113,113,Variedades Yeimi,CL 33 43 31 INT 106,05088,Bello,Bello,C1 2,En servicio,-75.5489,6.32004
-75.569527710311,6.34549534970788,114,114,Villas De Comfenalco,CR 66 62 07,05088,Bello,Bello,C1 2,En servicio,-75.56952771,6.34549535
-75.561650000004,6.34531000016692,115,115,Yaima Uñas Esculturales,AV 35 DG 55 65,05088,Bello,Bello,C1 2,En servicio,-75.56165,6.34531
-75.5903703496679,6.2821594596249,116,116,Candilejas Bello Horizonte,CL 77 B B 85 B 34,05001,Medellín,El Diamante,C2A,En servicio,-75.59037035,6.28215946
-75.5972100000703,6.27645099975393,117,117,De Uno Robledo,Cl 65 87 07 INT 102,05001,Medellín,Robledo,C2A,En servicio,-75.59721,6.276451
-75.6355143200921,6.2777610703977,118,118,El Hospital,CL 63 130 78,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.63551432,6.27776107
-75.6355143200921,6.2777610703977,119,119,El Hospital (2),CL 63 130 78         ,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.63551432,6.27776107
-75.6494064317877,6.29447479681562,120,120,El Llano,RURAL EL LLANO,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.64940643,6.2944748
-75.5773199998177,6.27060999976113,121,121,Euro Florida,CL 71 65 102,05001,Medellín,El Diamante,C2A,En servicio,-75.57732,6.27061
-75.6378099998349,6.27885000004476,122,122,Ferrolsa Sas,CL 63 33 C 08,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.63781,6.27885
-75.5865686704024,6.28370220957874,123,123,Gana Servicios Diamante,CL 79 DG 85 23,05001,Medellín,El Diamante,C2A,En servicio,-75.58656867,6.28370221
-75.5865276703945,6.28435620040509,124,124,Gana Servicios Diamante,CR 85A 79 108,05001,Medellín,El Diamante,C2A,En servicio,-75.58652767,6.2843562
-75.6048746802977,6.28100946990306,125,125,Gana Servicios La Campiña,CL 64 A 94 B 3,05001,Medellín,Robledo,C2A,En servicio,-75.60487468,6.28100947
-75.5929300002554,6.28558999978348,126,126,Granero Civition,CL 77 CC 91 22,05001,Medellín,El Diamante,C2A,Desactivado,-75.59293,6.28559
-75.6396250000524,6.28184500044515,127,127,Helados Y Mas,CL 66 103 B 15,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.639625,6.281845
-75.5792799998002,6.27596000011484,128,128,Hospital Pablo Tobon Uribe,CL 78B 69 240 LOCAL 18,05001,Medellín,El Diamante,C2A,En servicio,-75.57928,6.27596
-75.5863406303726,6.28559135969315,129,129,La Diamantina,CR 86 79 B 40,05001,Medellín,El Diamante,C2A,En servicio,-75.58634063,6.28559136
-75.5788361296419,6.28099192039528,130,130,La Finquita,CR 72 C 80 A 20,05001,Medellín,El Diamante,C2A,En servicio,-75.57883613,6.28099192
-75.6341748601382,6.27827842041983,131,131,La Y San Cristobal,CL 63 127 140,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.63417486,6.27827842
-75.6302500946107,6.27865321236884,132,132,Las Margaritas,CL 62 B 106 B 91,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.6302501,6.27865321
-75.5802273199797,6.28201648956429,133,133,Lopez De Mesa,CR 74 80 B 18,05001,Medellín,El Diamante,C2A,En servicio,-75.58022732,6.28201649
-75.5815665598463,6.28303963965324,134,134,Lopez Gana,CR 75 80 C 10,05001,Medellín,El Diamante,C2A,En servicio,-75.58156656,6.28303964
-75.5841502888766,6.28315165906606,135,135,Los Molina,CR 80 80 51,05001,Medellín,El Diamante,C2A,En servicio,-75.58415029,6.28315166
-75.5947549996203,6.28969700006093,136,136,Nuevo Aures,CR 94 A 78 A 44,05001,Medellín,El Diamante,C2A,En servicio,-75.594755,6.289697
-75.5899328395819,6.28351742009921,137,137,Oro,CL 77 D 86 73,05001,Medellín,El Diamante,C2A,En servicio,-75.58993284,6.28351742
-75.6321900001786,6.27263000019694,138,138,Papeleria El Sol,CR 126 61 A 22,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.63219,6.27263
-75.5772899996805,6.28765999962464,139,139,Papeleria Samuel,CL 92 B 72 B 47,05001,Medellín,El Diamante,C2A,En servicio,-75.57729,6.28766
-75.5791251401266,6.27462970981216,140,140,Pilarica,CR 69 73 121,05001,Medellín,El Diamante,C2A,En servicio,-75.57912514,6.27462971
-75.6353713298584,6.27685986990886,141,141,Pv Oficina Principal Gana San Cristobal,CL 62 130 18,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.63537133,6.27685987
-75.5858849797076,6.28633236974573,142,142,Qap Diamante,CR 86 80 A 07,05001,Medellín,El Diamante,C2A,En servicio,-75.58588498,6.28633237
-75.5945749996952,6.27820999983601,143,143,Robledo Palenque,CL 68 86 15,05001,Medellín,Robledo,C2A,En servicio,-75.594575,6.27821
-75.5932499999225,6.28691999956218,144,144,Sala De Internet Copiaures,CL 77 EE 91 B 28,05001,Medellín,El Diamante,C2A,Desactivado,-75.59325,6.28692
-75.6244082443169,6.28226312684614,145,145,Sibertel,CL 64AC 106 101C IN 9903,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.62440824,6.28226313
-75.6416150001721,6.28568200038788,146,146,Supermercado Travesias,CL 68 136C 49,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.641615,6.285682
-75.5943899997473,6.28919000038405,147,147,Tecnicel Juli.Jb,CR 94 78 A 09,05001,Medellín,El Diamante,C2A,En servicio,-75.59439,6.28919
-75.5892400004442,6.28163000008115,148,148,Tecnicell Ja,CR 85 B 77 C 29,05001,Medellín,El Diamante,C2A,En servicio,-75.58924,6.28163
-75.6301749999446,6.27806399987915,149,149,Tienda Granero Johan,CR 124 61 C 14 INT 9803 URB AVELLANAS,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.630175,6.278064
-75.5927799995692,6.28832000011925,150,150,Tienda Porras,CR 92 78 A 96,05001,Medellín,El Diamante,C2A,En servicio,-75.59278,6.28832
-75.5931300002719,6.29179999958544,151,151,Variedades Aures.Net,CL 80 94 92 INT 101,05001,Medellín,El Diamante,C2A,En servicio,-75.59313,6.2918
-75.6095619996187,6.2882709998732,152,152,Variedades Cañaberal,CL 65 AA 105 77 INT 9810,05001,Medellín,Robledo,C2A,En servicio,-75.609562,6.288271
-75.6282829997342,6.26916199964791,153,153,Variedades Dulce Mania,CR 122 48 D 57,05001,Medellín,San Cristobal Vereda La Loma,C2A,En servicio,-75.628283,6.269162
