objectid,code_ruta,ruta,linea,itinerario,sentido,sistema,cuenca,municipio,st_lengthshape
1,3001,C3-001,C3-001 Santa Gema - Aguacatala,C3-001 Aguacatala - Santa Gema,2,A,3,05001,6702.09977580116
2,3001,C3-001,C3-001 Santa Gema - Aguacatala,C3-001 Santa Gema - Aguacatala,1,A,3,05001,7106.37590050662
3,3002,C3-002,C3-002 Aguacatala - Bulerias,C3-002 Aguacatala,1,A,3,05001,7224.5707693786
4,3002,C3-002,C3-002 Aguacatala - Bulerias,C3-002 Bulerías Belén Rosales,2,A,3,05001,7554.84721690157
5,3005,C3-005,C3-005 Belén Aguas Frías - UDM,C3-005 Aguas Frías,2,A,3,05001,5134.74929390941
6,3005,C3-005,C3-005 Belén Aguas Frías - UDM,C3-005 Universidad de Medellín,1,A,3,05001,5251.10479414526
7,3006,C3-006,C3-006 Violetas - UDM - Villa Café,C3-006 Las Violetas Morro - UDM - Villa Café,3,A,3,05001,4313.9336881134
8,3007,C3-007,C3-007 La Palma - Loma de los Bernal,C3-007 La Palma - Loma de Los Bernal,2,A,3,05001,3539.50635354259
9,3007,C3-007,C3-007 La Palma - Loma de los Bernal,C3-007 Loma de Los Bernal - La Palma,1,A,3,05001,4421.25036354247
10,3008,C3-008,C3-008 La Serranía - Rosales,C3-008 La Serranía - Rosales,1,A,3,05001,4001.48563127394
11,3008,C3-008,C3-008 La Serranía - Rosales,C3-008 Rosales - La Serranía,2,A,3,05001,4291.1600679244
12,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,1,A,6,05001,2443.51922656339
13,6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,2,A,6,05001,3149.78579032318
14,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,1,A,6,05001,7012.04827068724
15,6002,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,2,A,6,05001,7205.42407315553
16,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,2,A,6,05001,4430.27010863059
17,6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,1,A,6,05001,3437.98184890559
18,6004,C6-004,C6-004 Reserva del Seminario - Estación Exposiciones,C6-004 Estación Exposiciones,1,A,6,05001,6488.51291100705
19,6004,C6-004,C6-004 Reserva del Seminario - Estación Exposiciones,C6-004 Reserva del Seminario,2,A,6,05001,6816.40400608717
20,6005,C6-005,C6-005 Vergel - Parque San Antonio,C6-005 El Vergel,2,A,6,05001,5107.74828355537
21,6005,C6-005,C6-005 Vergel - Parque San Antonio,C6-005 Parque San Antonio,1,A,6,05001,5227.6936925803
